date,value
2018-07-16,3153.31
2018-07-17,3126.78
2018-07-18,3098.37
2018-07-19,3066.65
2018-07-20,3076.01
2018-07-23,3065.01
2018-07-24,3095.8
2018-07-25,3100.3
2018-07-26,3138.21
2018-07-27,3149.46
2018-07-30,3157.45
2018-07-31,3164.21
2018-08-01,3193.14
2018-08-02,3130.59
2018-08-03,3162.6
2018-08-06,3179.63
2018-08-07,3189.93
2018-08-08,3153.65
2018-08-09,3143.15
2018-08-10,3144.22
2018-08-13,3093.61
2018-08-14,3114.43
2018-08-16,3096.13
2018-08-17,3104.53
2018-08-20,3104.6
2018-08-21,3119.5
2018-08-22,3074.67
2018-08-23,3084.09
2018-08-24,3102.42
2018-08-27,3110.14
2018-08-28,3126.9
2018-08-29,3129.73
2018-08-30,3109.12
2018-08-31,3123.12
2018-09-03,3113.14
2018-09-04,3122.86
2018-09-05,3100.31
2018-09-06,3108.98
2018-09-07,3119.56
2018-09-10,3119.24
2018-09-11,3118.82
2018-09-12,3114.31
2018-09-13,3119.65
2018-09-14,3140.59
2018-09-17,3097.95
2018-09-18,3108.25
2018-09-19,3108.44
2018-09-20,3109.64
2018-09-21,3140.41
2018-09-27,3147.1
2018-09-28,3160.35
2018-10-01,3139.22
2018-10-02,3088.4
2018-10-04,3051.56
2018-10-05,3034.44
2018-10-08,3008.8
2018-10-10,2957.04
2018-10-11,2821.62
2018-10-12,2842.07
2018-10-15,2831.83
2018-10-16,2835.53
2018-10-17,2858.65
2018-10-18,2835.56
2018-10-19,2849.84
2018-10-22,2865.45
2018-10-23,2796.3
2018-10-24,2821.52
2018-10-25,2788.37
2018-10-26,2741.12
2018-10-29,2667.24
2018-10-30,2680.44
2018-10-31,2735.04
2018-11-01,2719.85
2018-11-02,2796.33
2018-11-05,2763.49
2018-11-06,2796.84
2018-11-07,2759.99
2018-11-08,2789.39
2018-11-09,2797.72
2018-11-12,2810.99
2018-11-13,2811.55
2018-11-14,2820.21
2018-11-15,2848.59
2018-11-16,2849.5
2018-11-19,2874.9
2018-11-20,2847.76
2018-11-21,2869.18
2018-11-22,2856.46
2018-11-23,2828.76
2018-11-26,2875.94
2018-11-27,2886.25
2018-11-28,2877.96
2018-11-29,2887.24
2018-11-30,2890.42
2018-12-03,2921.24
2018-12-04,2899.4
2018-12-05,2885.7
2018-12-06,2863.67
2018-12-07,2845.37
2018-12-10,2815.73
2018-12-11,2805.94
2018-12-12,2868.79
2018-12-13,2899.78
2018-12-14,2882.69
2018-12-17,2881.77
2018-12-18,2862.79
2018-12-19,2900.09
2018-12-20,2887.73
2018-12-21,2893.69
2018-12-24,2890.93
2018-12-26,2857.34
2018-12-27,2849.45
2018-12-28,2847.57
2019-01-02,2798.45
2019-01-03,2778.2
2019-01-04,2812.45
2019-01-07,2850.05
2019-01-08,2837.61
2019-01-09,2871.82
2019-01-10,2857.77
2019-01-11,2869.61
2019-01-14,2855.89
2019-01-15,2900.13
2019-01-16,2906.42
2019-01-17,2908.24
2019-01-18,2948.16
2019-01-21,2956.0
2019-01-22,2932.88
2019-01-23,2955.42
2019-01-24,2948.9
2019-01-25,2965.34
2019-01-28,2971.83
2019-01-29,2976.25
2019-01-30,3001.84
