date,value,div_yield_pct
2018-07-16,2410.2,4.2
2018-07-17,2404.39,4.21
2018-07-18,2381.05,4.25
2018-07-19,2361.18,4.29
2018-07-20,2374.16,4.26
2018-07-23,2370.12,4.26
2018-07-24,2387.5,4.23
2018-07-25,2398.73,4.21
2018-07-26,2406.05,4.2
2018-07-27,2413.15,4.19
2018-07-30,2435.32,4.15
2018-07-31,2436.77,4.15
2018-08-01,2448.79,4.13
2018-08-02,2419.0,4.18
2018-08-03,2431.04,4.16
2018-08-06,2444.34,4.14
2018-08-07,2438.69,4.15
2018-08-08,2425.89,4.17
2018-08-09,2424.6,4.17
2018-08-10,2424.91,4.17
2018-08-13,2393.59,4.22
2018-08-14,2410.12,4.19
2018-08-16,2404.93,4.2
2018-08-17,2405.3,4.2
2018-08-20,2405.57,4.2
2018-08-21,2417.95,4.18
2018-08-22,2397.56,4.22
2018-08-23,2397.84,4.22
2018-08-24,2406.85,4.2
2018-08-27,2403.22,4.21
2018-08-28,2414.41,4.19
2018-08-29,2414.72,4.19
2018-08-30,2410.19,4.2
2018-08-31,2416.3,4.19
2018-09-03,2413.34,4.19
2018-09-04,2410.05,4.2
2018-09-05,2398.77,4.22
2018-09-06,2395.74,4.22
2018-09-07,2400.77,4.21
2018-09-10,2407.64,4.2
2018-09-11,2416.91,4.19
2018-09-12,2412.11,4.19
2018-09-13,2416.93,4.19
2018-09-14,2431.89,4.16
2018-09-17,2414.63,4.19
2018-09-18,2414.41,4.19
2018-09-19,2402.65,4.21
2018-09-20,2400.63,4.21
2018-09-21,2420.59,4.18
2018-09-27,2452.56,4.13
2018-09-28,2465.87,4.1
2018-10-01,2467.83,4.1
2018-10-02,2449.36,4.13
2018-10-04,2444.73,4.14
2018-10-05,2446.76,4.14
2018-10-08,2430.16,4.16
2018-10-10,2402.88,4.21
2018-10-11,2297.39,4.4
2018-10-12,2313.26,4.37
2018-10-15,2310.2,4.38
2018-10-16,2310.97,4.38
2018-10-17,2339.64,4.32
2018-10-18,2333.95,4.34
2018-10-19,2329.79,4.34
2018-10-22,2347.89,4.31
2018-10-23,2297.89,4.4
2018-10-24,2318.52,4.36
2018-10-25,2305.53,4.39
2018-10-26,2276.73,4.44
2018-10-29,2212.36,4.57
2018-10-30,2210.84,4.58
2018-10-31,2264.59,4.47
2018-11-01,2241.42,4.51
2018-11-02,2278.38,4.44
2018-11-05,2252.28,4.49
2018-11-06,2272.86,4.45
2018-11-07,2260.84,4.48
2018-11-08,2293.99,4.41
2018-11-09,2310.17,4.38
2018-11-12,2319.09,4.36
2018-11-13,2313.33,4.37
2018-11-14,2312.5,4.38
2018-11-15,2311.23,4.38
2018-11-16,2323.94,4.35
2018-11-19,2346.02,4.31
2018-11-20,2340.03,4.32
2018-11-21,2341.52,4.32
2018-11-22,2336.8,4.33
2018-11-23,2317.1,4.37
2018-11-26,2339.57,4.32
2018-11-27,2348.3,4.31
2018-11-28,2349.81,4.31
2018-11-29,2363.03,4.32
2018-11-30,2363.74,4.32
2018-12-03,2380.08,4.29
2018-12-04,2378.9,4.29
2018-12-05,2384.46,4.28
2018-12-06,2361.63,4.32
2018-12-07,2354.28,4.33
2018-12-10,2336.93,4.37
2018-12-11,2330.75,4.38
2018-12-12,2358.35,4.33
2018-12-13,2380.98,4.28
2018-12-14,2369.85,4.29
2018-12-17,2356.53,4.31
2018-12-18,2351.82,4.32
2018-12-19,2372.44,4.26
2018-12-20,2370.24,4.26
2018-12-21,2370.92,4.26
2018-12-24,2370.92,4.26
2018-12-26,2346.01,4.31
2018-12-27,2295.8,4.4
2018-12-28,2295.93,4.4
2019-01-02,2247.17,4.5
2019-01-03,2236.02,4.52
2019-01-04,2249.92,4.32
2019-01-07,2263.82,4.3
2019-01-08,2257.55,4.31
2019-01-09,2271.99,4.28
2019-01-10,2270.19,4.28
2019-01-11,2279.31,4.27
2019-01-14,2276.22,4.27
2019-01-15,2298.9,4.23
2019-01-16,2309.31,4.21
2019-01-17,2312.94,4.21
2019-01-18,2336.44,4.16
2019-01-21,2332.83,4.17
2019-01-22,2326.25,4.18
2019-01-23,2343.27,4.15
2019-01-24,2361.75,4.12
2019-01-25,2372.43,4.1
2019-01-28,2368.74,4.11
2019-01-29,2377.01,4.09
2019-01-30,2394.67,4.06
2019-01-31,2405.67,4.04
2019-02-01,2408.27,4.04
