date,value
2018-07-16,2410.2
2018-07-17,2404.39
2018-07-18,2381.05
2018-07-19,2361.18
2018-07-20,2374.16
2018-07-23,2370.12
2018-07-24,2387.5
2018-07-25,2398.73
2018-07-26,2406.05
2018-07-27,2413.15
2018-07-30,2435.32
2018-07-31,2436.77
2018-08-01,2448.79
2018-08-02,2419.0
2018-08-03,2431.04
2018-08-06,2444.34
2018-08-07,2438.69
2018-08-08,2425.89
2018-08-09,2424.6
2018-08-10,2424.91
2018-08-13,2393.59
2018-08-14,2410.12
2018-08-16,2404.93
2018-08-17,2405.3
2018-08-20,2405.57
2018-08-21,2417.95
2018-08-22,2397.56
2018-08-23,2397.84
2018-08-24,2406.85
2018-08-27,2403.22
2018-08-28,2414.41
2018-08-29,2414.72
2018-08-30,2410.19
2018-08-31,2416.3
2018-09-03,2413.34
2018-09-04,2410.05
2018-09-05,2398.77
2018-09-06,2395.74
2018-09-07,2400.77
2018-09-10,2407.64
2018-09-11,2416.91
2018-09-12,2412.11
2018-09-13,2416.93
2018-09-14,2431.89
2018-09-17,2414.63
2018-09-18,2414.41
2018-09-19,2402.65
2018-09-20,2400.63
2018-09-21,2420.59
2018-09-27,2452.56
2018-09-28,2465.87
2018-10-01,2467.83
2018-10-02,2449.36
2018-10-04,2444.73
2018-10-05,2446.76
2018-10-08,2430.16
2018-10-10,2402.88
2018-10-11,2297.39
2018-10-12,2313.26
2018-10-15,2310.2
2018-10-16,2310.97
2018-10-17,2339.64
2018-10-18,2333.95
2018-10-19,2329.79
2018-10-22,2347.89
2018-10-23,2297.89
2018-10-24,2318.52
2018-10-25,2305.53
2018-10-26,2276.73
2018-10-29,2212.36
2018-10-30,2210.84
2018-10-31,2264.59
2018-11-01,2241.42
2018-11-02,2278.38
2018-11-05,2252.28
2018-11-06,2272.86
2018-11-07,2260.84
2018-11-08,2293.99
2018-11-09,2310.17
2018-11-12,2319.09
2018-11-13,2313.33
2018-11-14,2312.5
2018-11-15,2311.23
2018-11-16,2323.94
2018-11-19,2346.02
2018-11-20,2340.03
2018-11-21,2341.52
2018-11-22,2336.8
2018-11-23,2317.1
2018-11-26,2339.57
2018-11-27,2348.3
2018-11-28,2349.81
2018-11-29,2363.03
2018-11-30,2363.74
2018-12-03,2380.08
2018-12-04,2378.9
2018-12-05,2384.46
2018-12-06,2361.63
2018-12-07,2354.28
2018-12-10,2336.93
2018-12-11,2330.75
2018-12-12,2358.35
2018-12-13,2380.98
2018-12-14,2369.85
2018-12-17,2356.53
2018-12-18,2351.82
2018-12-19,2372.44
2018-12-20,2370.24
2018-12-21,2370.92
2018-12-24,2370.92
2018-12-26,2346.01
2018-12-27,2295.8
2018-12-28,2295.93
2019-01-02,2247.17
2019-01-03,2236.02
2019-01-04,2249.92
2019-01-07,2263.82
2019-01-08,2257.55
2019-01-09,2271.99
2019-01-10,2270.19
2019-01-11,2279.31
2019-01-14,2276.22
2019-01-15,2298.9
2019-01-16,2309.31
2019-01-17,2312.94
2019-01-18,2336.44
2019-01-21,2332.83
2019-01-22,2326.25
2019-01-23,2343.27
2019-01-24,2361.75
2019-01-25,2372.43
2019-01-28,2368.74
2019-01-29,2377.01
2019-01-30,2394.67
2019-01-31,2405.67
2019-02-01,2408.27
2019-02-07,2424.47
2019-02-08,2410.75
2019-02-11,2409.31
2019-02-12,2417.63
2019-02-13,2438.18
2019-02-14,2449.78
2019-02-15,2427.57
2019-02-18,2444.48
2019-02-19,2437.51
2019-02-20,2446.3
2019-02-21,2432.26
2019-02-22,2438.98
2019-02-25,2444.26
2019-02-26,2432.93
2019-02-27,2447.53
2019-02-28,2409.38
2019-03-04,2415.01
2019-03-05,2410.26
2019-03-06,2417.57
2019-03-07,2398.57
2019-03-08,2373.13
2019-03-11,2379.0
2019-03-12,2395.26
2019-03-13,2392.73
2019-03-14,2418.95
2019-03-15,2440.96
2019-03-18,2442.75
2019-03-19,2437.23
2019-03-20,2427.82
2019-03-21,2405.88
2019-03-22,2403.26
2019-03-25,2368.79
2019-03-26,2376.43
2019-03-27,2381.66
2019-03-28,2369.23
2019-03-29,2370.64
2019-04-01,2404.03
2019-04-02,2405.15
2019-04-03,2413.32
2019-04-04,2419.28
2019-04-05,2424.21
2019-04-08,2425.75
2019-04-09,2414.42
2019-04-10,2426.25
2019-04-11,2423.92
2019-04-12,2439.33
2019-04-15,2456.04
2019-04-16,2448.91
2019-04-17,2453.82
2019-04-18,2433.67
2019-04-19,2432.6
2019-04-22,2432.25
2019-04-23,2448.95
2019-04-24,2446.48
2019-04-25,2439.82
2019-04-26,2428.32
2019-04-29,2454.22
2019-04-30,2438.55
2019-05-02,2457.42
2019-05-03,2442.71
2019-05-07,2425.55
2019-05-08,2440.2
2019-05-09,2395.89
2019-05-10,2401.06
2019-05-13,2366.17
2019-05-14,2362.06
2019-05-15,2382.07
2019-05-16,2362.41
2019-05-17,2345.88
2019-05-20,2336.83
2019-05-21,2352.38
2019-05-22,2361.62
2019-05-23,2355.9
2019-05-24,2355.83
2019-05-27,2349.51
2019-05-28,2350.26
2019-05-29,2318.16
2019-05-30,2322.74
2019-05-31,2317.81
2019-06-03,2338.31
2019-06-04,2348.43
2019-06-05,2349.1
2019-06-07,2348.37
2019-06-10,2379.45
2019-06-11,2386.09
2019-06-12,2389.98
2019-06-13,2399.99
2019-06-14,2393.3
2019-06-17,2386.76
2019-06-18,2394.36
2019-06-19,2400.95
2019-06-20,2401.6
2019-06-21,2396.75
2019-06-24,2408.77
2019-06-25,2395.33
2019-06-26,2400.93
2019-06-27,2405.83
2019-06-28,2389.41
2019-07-01,2386.18
2019-07-02,2387.64
2019-07-03,2358.72
2019-07-04,2370.13
2019-07-05,2379.96
2019-07-08,2327.72
