date,value
2019-06-14,710.75
2019-06-17,711.83
2019-06-18,712.13
2019-06-19,724.66
2019-06-20,728.33
2019-06-21,724.77
2019-06-24,722.71
2019-06-25,722.57
2019-06-26,725.38
2019-06-27,728.88
2019-06-28,727.12
2019-07-01,727.36
2019-07-02,725.69
2019-07-03,719.82
2019-07-04,724.88
2019-07-05,724.15
2019-07-08,710.46
2019-07-09,707.53
2019-07-10,712.53
2019-07-11,722.37
2019-07-12,722.61
2019-07-15,724.05
2019-07-16,730.74
2019-07-17,723.76
2019-07-18,722.97
2019-07-19,735.84
2019-07-22,736.22
2019-07-23,737.69
2019-07-24,730.77
2019-07-25,732.98
2019-07-26,734.08
2019-07-29,720.44
2019-07-30,724.63
2019-07-31,718.84
2019-08-01,720.19
2019-08-02,711.34
2019-08-05,693.89
2019-08-06,682.84
2019-08-07,682.83
2019-08-08,688.75
2019-08-09,693.32
2019-08-12,692.88
2019-08-13,689.34
2019-08-14,694.41
2019-08-16,691.57
2019-08-19,690.53
2019-08-20,699.55
2019-08-21,701.05
2019-08-22,693.61
2019-08-23,693.79
2019-08-26,678.56
2019-08-27,684.46
2019-08-28,690.75
2019-08-29,689.69
2019-08-30,702.74
2019-09-02,703.85
2019-09-03,703.02
2019-09-04,714.81
2019-09-05,722.19
2019-09-06,722.27
2019-09-09,728.51
2019-09-10,727.57
2019-09-11,731.04
2019-09-16,730.93
2019-09-17,730.43
2019-09-18,735.46
2019-09-19,739.24
2019-09-20,742.32
2019-09-23,740.91
2019-09-24,743.92
2019-09-25,735.34
2019-09-26,737.21
2019-09-27,729.52
2019-09-30,733.23
2019-10-01,741.35
2019-10-02,726.21
2019-10-04,722.08
2019-10-07,723.92
2019-10-08,731.88
2019-10-10,724.89
2019-10-11,732.67
2019-10-14,738.93
2019-10-15,740.07
2019-10-16,746.17
2019-10-17,743.92
2019-10-18,730.75
2019-10-21,733.88
2019-10-22,744.34
2019-10-23,741.46
2019-10-24,746.74
2019-10-25,750.87
2019-10-28,753.77
2019-10-29,752.06
2019-10-30,747.88
2019-10-31,751.18
2019-11-01,759.21
2019-11-04,767.95
2019-11-05,769.87
2019-11-06,766.04
2019-11-07,765.46
2019-11-08,760.7
2019-11-11,754.23
2019-11-12,760.91
2019-11-13,752.93
2019-11-14,764.67
2019-11-15,771.4
2019-11-18,772.61
2019-11-19,767.76
2019-11-20,755.89
2019-11-21,744.98
2019-11-22,744.82
2019-11-25,753.78
2019-11-26,753.67
2019-11-27,755.61
2019-11-28,751.58
2019-11-29,739.76
2019-12-02,739.84
2019-12-03,735.09
2019-12-04,729.88
2019-12-05,727.72
2019-12-06,738.01
2019-12-09,739.23
2019-12-10,740.24
2019-12-11,741.84
2019-12-12,756.82
2019-12-13,769.43
2019-12-16,772.49
2019-12-17,787.43
2019-12-18,786.16
2019-12-19,787.93
2019-12-20,793.2
2019-12-23,793.32
2019-12-24,788.6
2019-12-26,792.83
2019-12-27,797.27
2019-12-30,793.3
2020-01-02,785.82
2020-01-03,785.52
2020-01-06,779.36
2020-01-07,790.24
2020-01-08,788.57
2020-01-09,800.44
2020-01-10,806.85
2020-01-13,815.92
2020-01-14,819.09
2020-01-15,813.17
2020-01-16,820.34
2020-01-17,819.71
2020-01-20,823.06
2020-01-21,814.11
2020-01-22,825.73
2020-01-23,814.0
2020-01-28,789.15
2020-01-29,795.25
2020-01-30,781.57
2020-01-31,773.56
2020-02-03,777.0
2020-02-04,792.12
2020-02-05,796.89
2020-02-06,816.24
2020-02-07,813.51
2020-02-10,808.34
2020-02-11,817.77
2020-02-12,820.04
2020-02-13,822.14
2020-02-14,829.93
2020-02-17,831.26
2020-02-18,817.75
2020-02-19,820.77
2020-02-20,818.08
2020-02-21,807.61
2020-02-24,779.42
2020-02-25,786.89
2020-02-26,774.13
2020-02-27,764.18
2020-02-28,738.32
2020-03-02,750.69
2020-03-03,754.72
2020-03-04,769.47
2020-03-05,779.83
2020-03-06,764.7
2020-03-09,731.5
2020-03-10,740.39
2020-03-11,719.5
2020-03-12,693.68
2020-03-13,680.66
2020-03-16,657.07
2020-03-17,645.83
2020-03-18,610.89
2020-03-19,564.03
2020-03-20,605.03
2020-03-23,578.28
2020-03-24,634.4
2020-03-25,663.95
2020-03-26,651.14
2020-03-27,665.85
2020-03-30,665.58
2020-03-31,688.78
2020-04-01,651.74
2020-04-02,670.84
2020-04-03,670.82
2020-04-06,697.85
2020-04-07,708.18
2020-04-08,699.94
2020-04-09,709.42
2020-04-10,709.33
2020-04-13,697.87
2020-04-14,709.04
2020-04-16,711.58
2020-04-17,731.54
2020-04-20,723.19
2020-04-21,719.04
2020-04-22,730.4
2020-04-23,737.69
2020-04-24,728.77
2020-04-27,736.77
2020-04-28,740.36
2020-04-29,743.94
2020-05-04,723.61
2020-05-06,737.73
2020-05-07,738.4
2020-05-08,748.87
2020-05-11,746.7
2020-05-12,747.5
2020-05-13,750.76
2020-05-14,746.09
2020-05-15,747.94
2020-05-18,749.94
2020-05-19,759.09
2020-05-20,770.38
2020-05-21,775.41
2020-05-22,767.9
2020-05-25,778.38
2020-05-26,786.83
2020-05-27,779.83
2020-05-28,781.72
2020-05-29,774.33
2020-06-01,793.52
2020-06-02,796.82
2020-06-03,813.3
2020-06-04,822.91
2020-06-05,836.62
2020-06-08,838.07
2020-06-09,838.95
2020-06-10,846.71
2020-06-11,843.73
2020-06-12,834.71
2020-06-15,796.73
2020-06-16,836.14
2020-06-17,841.18
2020-06-18,834.78
2020-06-19,835.61
2020-06-22,843.19
2020-06-23,857.77
2020-06-24,866.85
2020-06-25,847.22
2020-06-26,851.89
2020-06-29,839.16
2020-06-30,845.22
2020-07-01,844.62
2020-07-02,859.28
2020-07-03,863.84
2020-07-06,871.99
2020-07-07,864.13
2020-07-08,862.49
2020-07-09,867.78
2020-07-10,868.44
2020-07-13,876.8
2020-07-14,871.14
2020-07-15,870.6
2020-07-16,859.92
2020-07-17,869.2
2020-07-20,859.67
2020-07-21,870.52
2020-07-22,866.93
2020-07-23,864.47
2020-07-24,859.81
2020-07-27,864.24
2020-07-28,874.64
2020-07-29,875.25
2020-07-30,880.11
2020-07-31,871.78
2020-08-03,874.71
2020-08-04,881.09
2020-08-05,890.48
2020-08-06,902.53
2020-08-07,904.44
2020-08-10,908.14
2020-08-11,915.08
2020-08-12,909.63
2020-08-13,914.31
2020-08-14,908.49
2020-08-18,891.21
2020-08-19,896.79
2020-08-20,866.91
2020-08-21,880.51
2020-08-24,891.75
2020-08-25,901.07
2020-08-26,905.02
2020-08-27,902.12
2020-08-28,900.7
2020-08-31,880.66
2020-09-01,886.6
2020-09-02,897.36
2020-09-03,906.93
2020-09-04,894.14
2020-09-07,897.97
2020-09-08,907.01
2020-09-09,889.2
2020-09-10,896.32
2020-09-11,896.97
2020-09-14,903.22
2020-09-15,911.98
2020-09-16,907.82
2020-09-17,897.74
2020-09-18,899.06
2020-09-21,886.0
2020-09-22,861.93
2020-09-23,872.19
2020-09-24,853.06
2020-09-25,855.58
2020-09-28,865.77
2020-09-29,870.98
2020-10-05,876.15
2020-10-06,880.68
2020-10-07,885.06
2020-10-08,884.72
2020-10-12,893.7
2020-10-13,895.62
2020-10-14,888.09
2020-10-15,878.22
2020-10-16,875.07
2020-10-19,875.01
2020-10-20,876.06
2020-10-21,881.04
2020-10-22,872.52
2020-10-23,869.99
2020-10-26,858.69
2020-10-27,854.95
2020-10-28,865.7
2020-10-29,863.7
2020-10-30,838.58
2020-11-02,845.21
2020-11-03,859.56
2020-11-04,876.39
2020-11-05,893.14
2020-11-06,893.29
2020-11-09,897.68
2020-11-10,886.5
2020-11-11,902.66
2020-11-12,901.0
2020-11-13,906.28
2020-11-16,925.06
2020-11-17,919.15
2020-11-18,923.46
2020-11-19,926.95
2020-11-20,929.76
2020-11-23,942.52
2020-11-24,940.75
2020-11-25,943.25
2020-11-26,951.45
2020-11-27,952.81
2020-11-30,939.92
2020-12-01,960.33
2020-12-02,980.49
2020-12-03,988.84
2020-12-04,1009.44
2020-12-07,1023.19
2020-12-08,993.85
2020-12-09,1013.79
2020-12-10,1007.19
2020-12-11,1016.62
2020-12-14,1016.58
2020-12-15,1015.67
2020-12-16,1018.56
2020-12-17,1019.01
2020-12-18,1019.26
2020-12-21,1023.39
2020-12-22,1008.4
2020-12-23,1016.42
2020-12-24,1027.92
2020-12-28,1022.17
2020-12-29,1032.64
2020-12-30,1049.96
2021-01-04,1067.02
2021-01-05,1082.45
2021-01-06,1076.03
2021-01-07,1089.94
2021-01-08,1127.41
2021-01-11,1119.44
2021-01-12,1110.15
2021-01-13,1121.87
2021-01-14,1114.73
2021-01-15,1088.32
2021-01-18,1068.85
2021-01-19,1084.34
2021-01-20,1091.05
2021-01-21,1105.21
2021-01-22,1107.08
2021-01-25,1140.32
2021-01-26,1114.8
2021-01-27,1113.82
2021-01-28,1103.85
2021-01-29,1076.19
2021-02-01,1110.23
2021-02-02,1126.46
2021-02-03,1133.48
2021-02-04,1106.81
2021-02-05,1120.13
2021-02-08,1114.8
2021-02-09,1111.81
2021-02-10,1118.96
2021-02-15,1140.75
2021-02-16,1145.15
2021-02-17,1133.01
2021-02-18,1115.98
2021-02-19,1134.61
2021-02-22,1120.56
2021-02-23,1118.56
2021-02-24,1090.21
2021-02-25,1138.57
2021-02-26,1104.26
2021-03-02,1114.17
2021-03-03,1138.81
2021-03-04,1124.67
2021-03-05,1111.15
2021-03-08,1091.42
2021-03-09,1082.94
2021-03-10,1079.54
2021-03-11,1098.58
2021-03-12,1114.24
2021-03-15,1104.64
2021-03-16,1120.97
2021-03-17,1115.76
2021-03-18,1128.06
2021-03-19,1117.04
2021-03-22,1115.47
2021-03-23,1105.35
2021-03-24,1106.4
2021-03-25,1105.79
2021-03-26,1117.26
2021-03-29,1109.47
2021-03-30,1119.1
2021-03-31,1117.12
2021-04-01,1133.99
2021-04-02,1137.78
2021-04-05,1134.87
2021-04-06,1138.65
2021-04-07,1137.18
2021-04-08,1140.75
2021-04-09,1137.75
2021-04-12,1135.46
2021-04-13,1144.99
2021-04-14,1143.59
2021-04-15,1141.11
2021-04-16,1142.4
2021-04-19,1142.91
2021-04-20,1145.3
2021-04-21,1121.93
2021-04-22,1120.64
2021-04-23,1121.37
2021-04-26,1124.03
2021-04-27,1121.13
2021-04-28,1100.37
2021-04-29,1092.58
2021-04-30,1084.25
2021-05-03,1081.58
2021-05-04,1089.63
2021-05-06,1086.69
2021-05-07,1095.31
2021-05-10,1113.03
2021-05-11,1084.99
2021-05-12,1063.96
2021-05-13,1052.3
2021-05-14,1063.86
2021-05-17,1056.69
2021-05-18,1070.27
2021-05-20,1071.39
2021-05-21,1074.34
2021-05-24,1062.86
2021-05-25,1078.0
2021-05-26,1083.62
2021-05-27,1082.27
2021-05-28,1085.79
2021-05-31,1094.33
2021-06-01,1099.36
2021-06-02,1091.98
2021-06-03,1100.19
2021-06-04,1093.3
2021-06-07,1095.98
2021-06-08,1094.01
2021-06-09,1078.38
2021-06-10,1089.33
2021-06-11,1096.53
2021-06-14,1108.12
2021-06-15,1110.45
2021-06-16,1119.21
2021-06-17,1110.81
2021-06-18,1114.73
2021-06-21,1110.83
2021-06-22,1107.06
2021-06-23,1129.38
2021-06-24,1132.61
2021-06-25,1131.37
2021-06-28,1129.18
2021-06-29,1125.65
2021-06-30,1132.51
2021-07-01,1126.21
2021-07-02,1120.84
2021-07-05,1124.65
2021-07-06,1128.16
2021-07-07,1127.94
2021-07-08,1122.76
2021-07-09,1106.39
2021-07-12,1113.36
2021-07-13,1131.71
2021-07-14,1132.98
2021-07-15,1144.23
2021-07-16,1140.18
2021-07-19,1129.01
2021-07-20,1126.53
2021-07-21,1117.88
2021-07-22,1130.06
2021-07-23,1134.57
2021-07-26,1125.97
2021-07-27,1120.47
2021-07-28,1112.89
2021-07-29,1115.71
2021-07-30,1101.18
2021-08-02,1112.07
2021-08-03,1120.97
2021-08-04,1133.6
2021-08-05,1135.93
2021-08-06,1133.86
2021-08-09,1126.28
2021-08-10,1118.13
2021-08-11,1107.42
2021-08-12,1097.01
2021-08-13,1084.5
2021-08-17,1071.54
2021-08-18,1076.11
2021-08-19,1062.0
2021-08-20,1051.23
2021-08-23,1069.11
2021-08-24,1088.41
2021-08-25,1084.58
2021-08-26,1071.28
2021-08-27,1069.52
2021-08-30,1071.65
2021-08-31,1092.88
2021-09-01,1095.91
2021-09-02,1089.08
2021-09-03,1093.8
2021-09-06,1093.59
2021-09-07,1085.9
2021-09-08,1069.13
2021-09-09,1052.98
2021-09-10,1063.87
2021-09-13,1064.4
2021-09-14,1067.46
2021-09-15,1074.37
2021-09-16,1064.52
2021-09-17,1073.77
2021-09-23,1070.84
2021-09-24,1067.89
2021-09-27,1063.97
2021-09-28,1046.42
2021-09-29,1029.02
2021-09-30,1038.66
2021-10-01,1019.33
2021-10-05,993.0
2021-10-06,979.15
2021-10-07,997.88
2021-10-08,996.9
2021-10-12,974.04
2021-10-13,986.05
2021-10-14,1004.34
2021-10-15,1015.66
2021-10-18,1015.09
2021-10-19,1025.62
2021-10-20,1023.67
2021-10-21,1019.18
2021-10-22,1019.8
2021-10-25,1019.28
2021-10-26,1030.67
2021-10-27,1020.69
2021-10-28,1017.88
2021-10-29,1001.01
2021-11-01,1011.94
2021-11-02,1020.64
2021-11-03,1013.01
2021-11-04,1015.88
2021-11-05,1017.63
2021-11-08,1015.0
2021-11-09,1024.36
2021-11-10,1014.64
2021-11-11,1019.9
2021-11-12,1025.07
2021-11-15,1041.71
2021-11-16,1042.39
2021-11-17,1030.16
2021-11-18,1028.93
2021-11-19,1035.39
2021-11-22,1057.11
2021-11-23,1043.27
2021-11-24,1043.83
2021-11-25,1037.03
2021-11-26,1025.22
2021-11-29,1016.96
2021-11-30,999.11
2021-12-01,1020.01
2021-12-02,1037.25
2021-12-03,1043.86
2021-12-06,1038.27
2021-12-07,1046.58
2021-12-08,1049.5
2021-12-09,1061.72
2021-12-10,1047.96
2021-12-13,1045.3
2021-12-14,1043.57
2021-12-15,1042.95
2021-12-16,1046.48
2021-12-17,1044.94
2021-12-20,1029.7
2021-12-21,1040.56
2021-12-22,1045.39
2021-12-23,1048.21
2021-12-24,1054.24
2021-12-27,1050.94
2021-12-28,1063.54
2021-12-29,1045.9
2021-12-30,1043.61
2022-01-03,1041.62
2022-01-04,1033.89
2022-01-05,1012.64
2022-01-06,993.08
2022-01-07,1005.89
2022-01-10,996.26
2022-01-11,1001.08
2022-01-12,1016.5
2022-01-13,1016.02
2022-01-14,996.47
2022-01-17,988.92
2022-01-18,980.54
2022-01-19,978.62
2022-01-20,982.04
2022-01-21,966.7
2022-01-24,956.65
2022-01-25,938.37
2022-01-26,926.87
2022-01-27,896.08
2022-01-28,920.67
2022-02-03,939.21
2022-02-04,949.99
2022-02-07,944.31
2022-02-08,944.34
2022-02-09,956.88
2022-02-10,963.54
2022-02-11,956.13
2022-02-14,946.51
2022-02-15,932.81
2022-02-16,950.73
2022-02-17,957.38
2022-02-18,951.85
2022-02-21,949.92
2022-02-22,938.99
2022-02-23,938.59
2022-02-24,912.74
2022-02-25,926.71
2022-02-28,933.57
2022-03-02,936.34
2022-03-03,956.7
2022-03-04,937.82
2022-03-07,914.82
2022-03-08,907.07
2022-03-10,935.16
2022-03-11,927.3
2022-03-14,921.77
2022-03-15,912.33
2022-03-16,926.23
2022-03-17,953.1
2022-03-18,955.91
2022-03-21,946.08
2022-03-22,948.36
2022-03-23,956.2
2022-03-24,949.1
2022-03-25,942.74
2022-03-28,941.85
2022-03-29,951.09
2022-03-30,955.88
2022-03-31,954.28
2022-04-01,946.83
2022-04-04,953.83
2022-04-05,956.06
2022-04-06,943.38
2022-04-07,932.95
2022-04-08,931.99
2022-04-11,926.09
2022-04-12,917.85
2022-04-13,931.39
2022-04-14,926.51
2022-04-15,913.76
2022-04-18,914.7
2022-04-19,928.16
2022-04-20,928.76
2022-04-21,930.69
2022-04-22,918.77
2022-04-25,899.1
2022-04-26,908.28
2022-04-27,896.72
2022-04-28,902.92
2022-04-29,918.19
2022-05-02,911.61
2022-05-03,910.12
2022-05-04,907.86
2022-05-06,891.82
2022-05-09,882.31
2022-05-10,882.1
2022-05-11,883.0
2022-05-12,861.9
2022-05-13,877.25
2022-05-16,871.24
2022-05-17,881.59
2022-05-18,885.57
2022-05-19,873.84
2022-05-20,887.43
2022-05-23,892.4
2022-05-24,870.03
2022-05-25,876.35
2022-05-26,868.3
2022-05-27,878.38
2022-05-30,891.82
2022-05-31,900.2
2022-06-02,894.36
2022-06-03,894.43
2022-06-07,876.45
2022-06-08,879.76
2022-06-09,879.73
2022-06-10,865.95
2022-06-13,834.98
2022-06-14,829.7
2022-06-15,811.53
2022-06-16,808.67
2022-06-17,803.11
2022-06-20,789.0
2022-06-21,796.48
2022-06-22,773.42
2022-06-23,768.0
2022-06-24,795.19
2022-06-27,808.72
2022-06-28,811.07
2022-06-29,800.46
2022-06-30,781.21
2022-07-01,772.01
2022-07-04,773.02
2022-07-05,792.31
2022-07-06,782.77
2022-07-07,796.45
2022-07-08,799.9
2022-07-11,792.66
2022-07-12,780.1
2022-07-13,790.08
2022-07-14,786.51
2022-07-15,791.82
2022-07-18,810.14
2022-07-19,806.32
2022-07-20,812.67
2022-07-21,820.1
2022-07-22,813.15
2022-07-25,815.65
2022-07-26,816.93
2022-07-27,819.52
2022-07-28,820.41
2022-07-29,828.1
2022-08-01,826.27
2022-08-02,822.44
2022-08-03,831.41
2022-08-04,837.23
2022-08-05,842.57
2022-08-08,836.55
2022-08-09,841.38
2022-08-10,827.33
2022-08-11,840.14
2022-08-12,837.75
2022-08-16,843.46
2022-08-17,841.44
2022-08-18,832.72
2022-08-19,826.33
2022-08-22,815.3
2022-08-23,799.95
2022-08-24,800.98
2022-08-25,813.47
2022-08-26,809.13
2022-08-29,788.69
2022-08-30,799.72
2022-08-31,810.62
2022-09-01,791.03
2022-09-02,785.85
2022-09-05,781.36
2022-09-06,782.81
2022-09-07,771.78
2022-09-08,776.59
2022-09-13,800.64
2022-09-14,781.83
2022-09-15,776.64
2022-09-16,769.54
2022-09-19,761.1
2022-09-20,763.3
2022-09-21,756.41
2022-09-22,747.95
